# from appendix B of The dilogarithm function of a real argument,  Robert Morris, Math. Comp. 33 (1979), 778-787
x,dilog(x),dilog(-x)
1.80,2.455876458504301735012301543645,-1.324652598823732070035912690929
1.90,2.464723302489591317096116958476,-1.381266904633378820281229772061
2.00,2.467401100272339654708622749969,-1.436746366883680946362902023894
2.10,2.465057975380808733171630566323,-1.491145618151680573563637568660
2.20,2.458586601999741851737986678759,-1.544515119048595203885772816970
2.30,2.448692515743370111823655739529,-1.596901590587111272053514639329
2.40,2.435941099045935577469203445568,-1.648348390474691231875756861321
2.50,2.420790806565933843913656593893,-1.698895841995014173048091284015
2.60,2.403617212268632402133173451324,-1.748581522597636561648072986990
2.70,2.384730761537743347168527864660,-1.797440518082914586087229348866
2.80,2.364390102328581973568210913407,-1.845505647276696845334658242627
2.90,2.342812247293540603117407553046,-1.892807661285357115434849326700
3.00,2.320180423313098396406194473703,-1.939375420766708953077271719178
3.10,2.296650206578988948078244290375,-1.985236054115665580574525275757
3.20,2.272354368691871251464108780631,-2.030415099021474096473803050602
3.30,2.247406741367447881020541916266,-2.074936629487449596596800206148
3.40,2.221905325395980123780617533989,-2.118823370099811521504826736057
3.50,2.195934811575780804252856100843,-2.16209679907795095098509495119
3.60,2.169568639783855065339789579840,-2.204777241425323351874567636039
3.70,2.142870692126057632221233634587,-2.246883953319760865440055457373
3.80,2.115896693859746744480291920201,-2.288435198731344677614131545051
3.90,2.088695379215163270851814148904,-2.329448319125246758841438312332
4.00,2.061309466777317416691441452151,-2.369939796998365831985537425350
4.10,2.033776479621663456648249864539,-2.409925313903926704546891567960
4.20,2.006129438139823827310544507153,-2.449419803537803903885763041577
4.30,1.978397447883292851120445756021,-2.488437500390962472800900297322
4.40,1.950606200385219567506438445576,-2.526991984412570694792946974302
4.50,1.922778401493970986029562731318,-2.565096222076555183118930208462
4.60,1.894934139046013164770373951243,-2.602762604199429907294835233582
4.70,1.867091199554661796866627371950,-2.640002980818128376052163241083
4.80,1.839265341871258900493067876821,-2.676828693402456933013832146069
4.90,1.811470534392159447938431229342,-2.713250604646956250993800577169
5.00,1.783719161266630627743559734722,-2.749279126060808290025587515376
5.10,1.756022202152051164244223774355,-2.784924243551450236746837890143
5.20,1.728389389320815633051329318289,-2.820195541177325162129021900941
5.30,1.700829345314731775795506112117,-2.855102223227345392468201172730
5.40,1.673349703841301064667995859280,-2.889653134768856704832957071014
5.50,1.645957216191491435889025274286,-2.923856780791902400279072690568
5.60,1.618657845114125283928450808686,-2.957721344065167076722392822094
5.70,1.591456847794820980913148502729,-2.991254701807933648399308710288
5.80,1.564358849347146277491869170541,-3.024464441272544185755349106472
5.90,1.537367908021911303096409328589,-3.057357874323068937244676836844
6.00,1.510487573170602177382854427622,-3.089942051088031581283046157063
